Round 1: average_iterations = 40.0, average_time = 2.546543836593628, average_reward = 0.0, time = 2.546543836593628, reward = 0.0
Round 2: average_iterations = 20.5, average_time = 1.307139277458191, average_reward = 0.0, time = 0.0677347183227539, reward = 0.0
Round 3: average_iterations = 21.666666666666668, average_time = 1.3944295247395833, average_reward = 0.0, time = 1.5690100193023682, reward = 0.0
Round 4: average_iterations = 21.75, average_time = 1.3769842982292175, average_reward = 0.0, time = 1.3246486186981201, reward = 0.0
Round 5: average_iterations = 28.2, average_time = 1.7631868839263916, average_reward = 0.0036, time = 3.307997226715088, reward = 0.018
Round 6: average_iterations = 26.5, average_time = 1.6681464513142903, average_reward = 0.0029999999999999996, time = 1.1929442882537842, reward = 0.0
Round 7: average_iterations = 26.857142857142858, average_time = 1.6995084626334054, average_reward = 0.0025714285714285713, time = 1.8876805305480957, reward = 0.0
Round 8: average_iterations = 27.125, average_time = 1.7287872433662415, average_reward = 0.00225, time = 1.9337387084960938, reward = 0.0
Round 9: average_iterations = 27.77777777777778, average_time = 1.7773900826772053, average_reward = 0.002, time = 2.166212797164917, reward = 0.0
Round 10: average_iterations = 30.5, average_time = 1.9834506034851074, average_reward = 0.0018, time = 3.8379952907562256, reward = 0.0
Round 11: average_iterations = 31.818181818181817, average_time = 2.118094552646984, average_reward = 0.0016363636363636363, time = 3.464534044265747, reward = 0.0
Round 12: average_iterations = 30.833333333333332, average_time = 2.062116543451945, average_reward = 0.0014999999999999998, time = 1.4463584423065186, reward = 0.0
Round 13: average_iterations = 31.76923076923077, average_time = 2.141265630722046, average_reward = 0.0013846153846153845, time = 3.091054677963257, reward = 0.0
Round 14: average_iterations = 31.857142857142858, average_time = 2.159517730985369, average_reward = 0.0012857142857142856, time = 2.3967950344085693, reward = 0.0
Round 15: average_iterations = 31.2, average_time = 2.1214104493459067, average_reward = 0.0012, time = 1.5879085063934326, reward = 0.0
Round 16: average_iterations = 30.5, average_time = 2.0777744501829147, average_reward = 0.001125, time = 1.423234462738037, reward = 0.0
Round 17: average_iterations = 32.94117647058823, average_time = 2.2963090083178352, average_reward = 0.0010588235294117646, time = 5.7928619384765625, reward = 0.0
Round 18: average_iterations = 33.611111111111114, average_time = 2.3825369940863714, average_reward = 0.001, time = 3.8484127521514893, reward = 0.0
