Round 1: average_iterations = 26.0, average_time = 73.84380650520325, average_reward = 0.713, time = 73.84380650520325, reward = 0.713
Round 2: average_iterations = 42.5, average_time = 111.68698346614838, average_reward = 0.7315, time = 149.5301604270935, reward = 0.75
Round 3: average_iterations = 28.666666666666668, average_time = 74.90046374003093, average_reward = 0.4876666666666667, time = 1.3274242877960205, reward = 0.0
Round 4: average_iterations = 21.75, average_time = 56.48680502176285, average_reward = 0.36575, time = 1.2458288669586182, reward = 0.0
Round 5: average_iterations = 20.0, average_time = 50.405655479431154, average_reward = 0.4436, time = 26.08105731010437, reward = 0.755
Round 6: average_iterations = 16.833333333333332, average_time = 42.224079291025795, average_reward = 0.36966666666666664, time = 1.3161983489990234, reward = 0.0
Round 7: average_iterations = 19.285714285714285, average_time = 47.811876262937275, average_reward = 0.4184285714285714, time = 81.33865809440613, reward = 0.711
Round 8: average_iterations = 17.0, average_time = 41.98742437362671, average_reward = 0.366125, time = 1.2162611484527588, reward = 0.0
Round 9: average_iterations = 15.222222222222221, average_time = 37.465841134389244, average_reward = 0.3254444444444444, time = 1.293175220489502, reward = 0.0
Round 10: average_iterations = 13.8, average_time = 33.86510841846466, average_reward = 0.2929, time = 1.4585139751434326, reward = 0.0
Round 11: average_iterations = 12.636363636363637, average_time = 30.912921515378084, average_reward = 0.26627272727272727, time = 1.391052484512329, reward = 0.0
Round 12: average_iterations = 17.333333333333332, average_time = 42.72831928730011, average_reward = 0.3053333333333333, time = 172.69769477844238, reward = 0.735
Round 13: average_iterations = 16.076923076923077, average_time = 39.54606672433707, average_reward = 0.2818461538461538, time = 1.3590359687805176, reward = 0.0
Round 14: average_iterations = 15.0, average_time = 36.8205361195973, average_reward = 0.2617142857142857, time = 1.3886382579803467, reward = 0.0
Round 15: average_iterations = 22.066666666666666, average_time = 54.16168595949809, average_reward = 0.2932666666666667, time = 296.93778371810913, reward = 0.735
Round 16: average_iterations = 21.625, average_time = 52.499095529317856, average_reward = 0.3195, time = 27.56023907661438, reward = 0.713
Round 17: average_iterations = 25.11764705882353, average_time = 59.84190959088943, average_reward = 0.34176470588235297, time = 177.32693457603455, reward = 0.698
Round 18: average_iterations = 23.77777777777778, average_time = 56.58218495051066, average_reward = 0.32277777777777783, time = 1.1668660640716553, reward = 0.0
Round 19: average_iterations = 22.57894736842105, average_time = 53.66993354496203, average_reward = 0.30578947368421056, time = 1.24940824508667, reward = 0.0
Round 20: average_iterations = 28.85, average_time = 66.58113414049149, average_reward = 0.32675, time = 311.89394545555115, reward = 0.725
Round 21: average_iterations = 27.523809523809526, average_time = 63.469182139351254, average_reward = 0.3111904761904762, time = 1.2301421165466309, reward = 0.0
Round 22: average_iterations = 27.09090909090909, average_time = 62.239129521630026, average_reward = 0.3205, time = 36.40802454948425, reward = 0.516
Round 23: average_iterations = 33.04347826086956, average_time = 75.17966061053069, average_reward = 0.3385217391304348, time = 359.8713445663452, reward = 0.735
Round 24: average_iterations = 31.708333333333332, average_time = 72.09678869446118, average_reward = 0.3244166666666667, time = 1.190734624862671, reward = 0.0
Round 25: average_iterations = 30.48, average_time = 69.26272403717041, average_reward = 0.31144, time = 1.2451722621917725, reward = 0.0
Round 26: average_iterations = 29.76923076923077, average_time = 67.39382304595067, average_reward = 0.3268076923076923, time = 20.671298265457153, reward = 0.711
Round 27: average_iterations = 28.703703703703702, average_time = 64.94087403791922, average_reward = 0.3147037037037037, time = 1.1641998291015625, reward = 0.0
